sku,line,product_type,length_in,unit,pack_weight_g,price_usd,price_cny
SD-KT-18,Single-Donor,Keratin Tips 100 pcs,18,pack_100pcs,67,65,455
SD-KT-20,Single-Donor,Keratin Tips 100 pcs,20,pack_100pcs,70,85,595
SD-KT-22,Single-Donor,Keratin Tips 100 pcs,22,pack_100pcs,70,100,700
SD-KT-24,Single-Donor,Keratin Tips 100 pcs,24,pack_100pcs,75,125,875
SD-KT-26,Single-Donor,Keratin Tips 100 pcs,26,pack_100pcs,75,135,945
SD-KT-28,Single-Donor,Keratin Tips 100 pcs,28,pack_100pcs,85,160,1120
SD-KT-30,Single-Donor,Keratin Tips 100 pcs,30,pack_100pcs,85,175,1225
SD-TI-18,Single-Donor,Tape-in pack of 20,18,pack_20pcs,42,40,280
SD-TI-20,Single-Donor,Tape-in pack of 20,20,pack_20pcs,45,55,385
SD-TI-22,Single-Donor,Tape-in pack of 20,22,pack_20pcs,47,70,490
SD-TI-24,Single-Donor,Tape-in pack of 20,24,pack_20pcs,50,85,595
SD-TI-26,Single-Donor,Tape-in pack of 20,26,pack_20pcs,52,95,665
SD-TI-28,Single-Donor,Tape-in pack of 20,28,pack_20pcs,55,105,735
SD-TI-30,Single-Donor,Tape-in pack of 20,30,pack_20pcs,57,120,840
SD-GW-18,Single-Donor,Genius Weft per 100 g,18,per_100g,100,95,665
SD-GW-20,Single-Donor,Genius Weft per 100 g,20,per_100g,100,115,805
SD-GW-22,Single-Donor,Genius Weft per 100 g,22,per_100g,100,140,980
SD-GW-24,Single-Donor,Genius Weft per 100 g,24,per_100g,100,165,1155
SD-GW-26,Single-Donor,Genius Weft per 100 g,26,per_100g,100,175,1225
SD-GW-28,Single-Donor,Genius Weft per 100 g,28,per_100g,100,185,1295
SD-GW-30,Single-Donor,Genius Weft per 100 g,30,per_100g,100,205,1435
SD-HB-18,Single-Donor,Hair Bulk per 100 g,18,per_100g,100,75,525
